upd,R,ret,val,loss,pg,vf,ent,kl,cap,br,cap_rate,nt,coll
0,1.5523466780871704,10.55508094389457,0.11885325610637665,564.2195481983217,0.02388283882464748,1128.3913307189941,1.8785282969474792,0.07544438913464546,51.0,99.0,0.34,1.0,0.0
5,3.5070609933022894,24.604947988213837,1.4182002544403076,1180.5521923588676,0.00028958787152078,2361.103805541992,1.7271907106041908,0.0005838529159518657,139.0,174.0,0.4440894568690096,0.0,0.0
10,4.557295375124682,32.27315538808523,2.9414682388305664,1227.4620396594837,7.341368473134935e-06,2454.9240646362305,1.841339036822319,0.0002551273050812597,157.0,168.0,0.48307692307692307,0.0,0.0
15,4.296445428412616,30.238398981889397,3.811734914779663,856.7493071907666,-0.0004791861865669489,1713.4995727539062,1.840927593410015,-0.0011477400526018755,140.0,132.0,0.5147058823529411,0.0,0.0
20,4.037980845367539,29.824759208503238,4.921782493591309,958.4528662928496,-0.0012238255585543811,1916.9081802368164,1.7183881849050522,0.002397290479621006,138.0,132.0,0.5111111111111111,1.0,0.0
25,4.020511777791251,26.94857764231275,6.26255989074707,915.809471377288,-0.00102590664755553,1831.620994567871,1.672874391078949,-0.0002829987063250883,136.0,148.0,0.4788732394366197,0.0,0.0
30,3.601925751274884,27.16658408553303,6.546597480773926,868.9507267056179,-0.0012615145969903097,1737.9039764404297,1.6897801458835602,0.0011919331986973702,126.0,145.0,0.46494464944649444,0.0,0.0
35,3.3320583558084627,20.124545218335783,6.546462059020996,771.613761670771,-0.00042366248089820147,1543.228370666504,1.8071574792265892,0.00019858805740113894,127.0,156.0,0.44876325088339225,0.0,0.0
40,5.437022617413389,41.703277417565786,8.091168403625488,1293.297629294204,-0.001885476303868927,2586.5990295410156,1.7869413942098618,0.002374653557126294,183.0,143.0,0.5613496932515337,1.0,0.0
45,2.978068120270061,23.036351917881007,9.367277145385742,607.2761887935048,-0.0013132664316799492,1214.555004119873,1.820873573422432,0.0034799175030002516,106.0,164.0,0.3925925925925926,0.0,0.0
50,5.654312216366623,41.199135129596726,10.503774642944336,1087.9441013471442,-0.0010394914788776077,2175.890281677246,1.8317044451832771,0.0014407896580053148,186.0,141.0,0.5688073394495413,0.0,0.0
55,5.337941021955329,38.21571065875475,10.893918991088867,1103.168085927202,-0.0008517559035681188,2206.337875366211,1.817516066133976,0.0013907101333643368,173.0,127.0,0.5766666666666667,1.0,0.0
60,5.328539845230625,43.78801226344468,12.123494148254395,1169.7329753712984,-0.001105897012166679,2339.468162536621,1.8374559208750725,0.0008999636643238773,170.0,118.0,0.5902777777777778,0.0,0.0
65,3.5411009396828095,19.906927641324387,11.892745018005371,601.9063640359673,0.0009284738334827125,1203.8108711242676,1.8524933606386185,0.0013055249564786209,131.0,139.0,0.48518518518518516,0.0,0.0
70,1.9945861052178155,16.82455765374627,10.45311164855957,609.5011891825775,-0.00021081131893652127,1219.002799987793,1.826889805495739,-0.00028560237046804104,97.0,182.0,0.34767025089605735,1.0,0.0
75,3.53113542060825,21.13764398825016,9.302490234375,736.0573903280456,-0.00024593294074293226,1472.1152725219727,1.8969289734959602,0.00032040355199569603,133.0,159.0,0.4554794520547945,0.0,0.0
80,3.942489053814996,34.38363862189741,11.042946815490723,869.6821644643787,0.0002568105701357126,1739.3638153076172,1.9137251824140549,0.0001162439618838107,133.0,123.0,0.51953125,0.0,0.0
85,5.137196323550084,40.29784359280035,14.200796127319336,972.3350958593946,-0.002062343730358407,1944.67431640625,1.9120771661400795,0.0017785328923309862,165.0,115.0,0.5892857142857143,0.0,0.0
90,3.628050416991174,25.80153372463174,12.223121643066406,692.5641987870549,-0.0003992964411736466,1385.1291961669922,1.9894626289606094,0.002448475999585753,121.0,128.0,0.4859437751004016,0.0,0.0
95,4.531520518481551,30.812920437848476,13.90853500366211,869.0770612013876,-0.00040004128823056817,1738.1549224853516,1.8971669971942902,0.00025917629773175577,163.0,148.0,0.5241157556270096,1.0,0.0
100,4.426804303392058,31.201427223948528,17.272401809692383,731.7690302669289,3.307454608147964e-05,1463.5379943847656,1.9556511342525482,1.7059641663763614e-06,145.0,111.0,0.56640625,0.0,0.0
105,5.03082976852539,33.2367480286466,18.473020553588867,776.335359278688,0.0008103284926619381,1552.6690979003906,1.9897687956690788,0.001184010741098973,166.0,121.0,0.578397212543554,0.0,0.0
110,5.839476813828603,40.98125619116481,21.066556930541992,930.6221209511073,-0.0005177512853151711,1861.2452774047852,2.0265616476535797,0.00042584563811942644,192.0,117.0,0.6213592233009708,0.0,0.0
115,3.490298980904385,28.663926754783795,20.35635757446289,768.1225409484541,-0.0014939331376808695,1536.2480697631836,2.040998101234436,0.002099006033859041,133.0,144.0,0.48014440433212996,0.0,0.0
120,5.153828165573014,37.56288835985079,19.659202575683594,876.5075517383666,-0.0007337840943364426,1753.0165710449219,2.1737892627716064,0.00023545635303889867,170.0,133.0,0.5610561056105611,0.0,0.0
125,4.262462961473636,33.03776756269108,26.37499237060547,751.9168514880002,-0.0048976269899867475,1503.8434982299805,2.140670508146286,0.003989198088675039,143.0,122.0,0.539622641509434,0.0,0.0
130,5.895350701737072,62.996578868333145,32.0525016784668,976.3676311939053,-0.0010898143955273554,1952.7374420166016,2.1158420592546463,0.0012089928582099674,178.0,101.0,0.6379928315412187,1.0,0.0
135,4.109649071790136,45.06283101519959,33.24049758911133,654.8219623187324,-0.00011638610158115625,1309.644157409668,2.216420993208885,-0.00017928690829194238,140.0,135.0,0.509090909090909,0.0,0.0
140,4.974889345804376,45.695926599777984,32.35737609863281,785.2733496745932,-0.0014573017251677811,1570.5496139526367,2.152942970395088,0.004628463610146127,166.0,120.0,0.5804195804195804,0.0,0.0
145,5.068751736915392,52.45121500119657,38.11005783081055,773.263204137038,-9.008293272927403e-05,1546.5265884399414,2.1166093051433563,9.996780336152256e-05,166.0,115.0,0.5907473309608541,0.0,0.0
150,7.92193088800072,68.72351398182724,39.27301025390625,863.9604503500741,-0.0010059487540274858,1727.9229125976562,2.0767707526683807,0.002530939024438794,238.0,105.0,0.6938775510204082,0.0,0.0
155,3.3249910682926234,38.70598876899302,37.458953857421875,579.71428040514,-0.002554616832640022,1159.4336700439453,2.0595304667949677,0.0018122332271559571,117.0,143.0,0.45,0.0,0.0
160,4.8424507484397346,57.352122765010435,40.028221130371094,864.6391163275621,-0.0003070427992497571,1729.2788467407227,2.0907014459371567,-8.53560713949264e-05,149.0,100.0,0.5983935742971888,0.0,0.0
165,7.728075497161009,66.55179231948017,45.06682586669922,787.3133730661357,-0.0011182058369740844,1574.6289825439453,1.9799023196101189,0.003839522285716157,223.0,59.0,0.7907801418439716,4.0,0.0
170,4.145808423541082,44.451169849852846,30.313188552856445,591.0843527884863,-0.0013539223291445524,1182.1714134216309,2.0035742670297623,0.0015442791645909892,142.0,147.0,0.4913494809688581,0.0,0.0
175,4.985125358475636,57.776636991305786,40.771522521972656,547.8543186886527,-0.00012009308557026088,1095.7088775634766,2.0640439689159393,-0.00019746347038562817,159.0,118.0,0.5740072202166066,0.0,0.0
180,6.3689864657514095,67.30663891133773,47.4718132019043,828.5448153912585,-8.359555795323104e-05,1657.0897979736328,2.0366733372211456,0.0007369834697783517,198.0,119.0,0.6246056782334385,0.0,0.0
185,7.23459204784918,66.27247829287782,51.19389724731445,607.1802935323358,0.0002798757195705548,1214.3600273132324,2.0239157676696777,0.001314918831212708,223.0,94.0,0.7034700315457413,0.0,0.0
190,4.219817603109403,49.62677711192665,35.21424865722656,803.7604336956574,-0.0004877826140727848,1607.521842956543,1.9533125013113022,0.00020210861293890048,146.0,153.0,0.4882943143812709,1.0,0.0
195,5.6349187590183405,52.64746085826576,38.31925964355469,795.4292512970278,-0.0005887908628210425,1590.8596801757812,1.9071925282478333,0.00024571719995947205,177.0,118.0,0.6,0.0,0.0
200,6.956583365584118,68.75440854835517,44.386314392089844,904.2573889223859,-0.00027861911803483963,1808.5153350830078,2.030670367181301,0.0023782746641245467,209.0,80.0,0.7231833910034602,2.0,0.0
205,3.374435393751905,41.495659293198564,35.099510192871094,516.5252505516619,-0.002453687229717616,1033.0554084777832,2.071727767586708,0.00366839867501767,133.0,181.0,0.42356687898089174,0.0,0.0
210,3.8052805793628126,50.60015907830212,50.34961700439453,807.7862012354599,-0.0025103123916778713,1615.5774230957031,2.059990644454956,0.0024646143465361092,129.0,110.0,0.5397489539748954,0.0,0.0
215,6.289560749199147,77.17386715792992,60.63092041015625,729.0952614794587,-0.0008460034514428116,1458.1922149658203,1.9676025956869125,0.0005928662221776904,195.0,107.0,0.6456953642384106,0.0,0.0
220,7.451008557747347,77.35019170421319,64.40444946289062,580.7498226926837,-0.0019301607098896056,1161.503505706787,1.9620592519640923,-8.638057988719083e-05,217.0,84.0,0.7209302325581395,0.0,0.0
225,8.382875115775294,88.39484481009217,65.64283752441406,749.8791982844705,-0.0011651798849925399,1499.760726928711,1.9105122312903404,-0.002800831934450798,239.0,52.0,0.8213058419243986,0.0,0.0
230,5.516960131433581,77.55365608709553,65.48332977294922,577.2170477963809,-0.0006035708065610379,1154.435302734375,1.8683659881353378,-0.0002674600785894654,171.0,110.0,0.608540925266904,1.0,0.0
235,5.766238383810503,72.36229483154993,76.1876220703125,958.1136907763139,-0.0009179883345495909,1916.2292175292969,1.9776026234030724,0.00030073983566580864,177.0,73.0,0.708,0.0,0.0
240,6.656131735154875,80.8476410338528,75.53691864013672,713.9210093749862,-0.0022465454239863902,1427.8465118408203,2.0724412500858307,0.003942040563373439,202.0,78.0,0.7214285714285714,1.0,0.0
245,4.683846295225367,73.76303979800362,81.79414367675781,931.120468116831,-3.816979005932808e-05,1862.2410125732422,2.032249428331852,0.0010634399544358075,155.0,126.0,0.5516014234875445,4.0,0.0
250,8.142465585319943,102.75097409673197,88.29314422607422,492.7442905838834,-0.0014712874544784427,985.4915237426758,2.0134491622447968,0.002065675090307195,238.0,62.0,0.7933333333333333,1.0,0.0
255,8.314901784948457,98.5001184129384,89.2606201171875,256.1980368286604,-0.0016663878923282027,512.3994064331055,1.9590053036808968,0.0014781112017772102,250.0,77.0,0.764525993883792,0.0,0.0
260,6.036588184705121,85.19826096669043,88.6187973022461,490.45239781591226,-0.0008320882625412196,980.9064598083496,1.879363238811493,0.0012843601280110306,181.0,82.0,0.688212927756654,0.0,0.0
265,6.740038298812781,90.57081135914984,89.50544738769531,514.4373516979103,-0.0009589252586010844,1028.876621246338,1.897105149924755,0.001846192334596708,202.0,69.0,0.7453874538745388,0.0,0.0
270,6.462311860123231,89.20234136272457,89.33425903320312,475.283521116482,-0.0018582933080324437,950.5707588195801,1.8892766684293747,0.0005862906832589942,199.0,106.0,0.6524590163934426,0.0,0.0
275,6.981379923827868,97.88173779616099,87.69632720947266,484.22615687274083,-0.0015347776497947052,968.4553833007812,2.0054839327931404,0.0017889175450704897,213.0,82.0,0.7220338983050848,0.0,0.0
280,4.542890732379636,75.1754110350777,77.26734924316406,683.626480592211,-0.0015673509042244405,1367.2560958862305,1.9005809351801872,0.0002694586894449458,160.0,152.0,0.5128205128205128,1.0,0.0
285,6.099164497873577,89.7858585501009,99.00131225585938,706.4706042166217,-0.001258576347026974,1412.9437255859375,1.883371688425541,0.00045373927673608705,190.0,81.0,0.7011070110701108,0.0,0.0
290,4.750243040390063,75.45637749141689,90.94754028320312,805.81402913278,-0.0010267143879900686,1611.630111694336,1.933373749256134,0.0016243855820903264,165.0,114.0,0.5913978494623656,0.0,0.0
295,8.006736755230289,107.78295493193973,106.59014892578125,564.0283711638185,-0.0014406953123398125,1128.0596237182617,1.9901248887181282,0.002789616151858354,235.0,67.0,0.7781456953642384,0.0,0.0
300,5.269085696894361,88.88242810570354,96.91819763183594,670.9570651018003,-0.00302172070951201,1341.9201736450195,1.8827317133545876,0.0020240326136899967,172.0,111.0,0.607773851590106,5.0,0.0
